Application Code,Application,DBAG_Application Level,Application Type,DBAG_Authenticity,DBAG_Availability,Comment,DBAG_Confidentiality,DBAG_Control of Source Code,DBAG_Current State,Generic Local name,DBAG_Integrity,OwningLegalEntity,DBAG_Long Description,DBG-Max Criticality,DBAG - Number of Message Flows,DBAG_DecomStatus
AID11,CASCADE,Application,Not set,Critical,Critical,"CASCADE  (Central Application for Settlement, Clearing and Depository Expansion) 

Instruction Lifecycle and Settlement Engine ",Critical,Internal,onboarding,CASCADE,Critical,LE11,"Times New Roman;Century Gothic;Courier New;Arial;Segoe UI;symbol;symbol;Times New Roman;&quot;;wingdings;;;;Normal;Default Paragraph Font;The CASCADE components comprises the following functionality for CSC business :
 
·           Instruction entry (online monitor  / LIMA and CASCADE-PC)
·           4-eyes principle
·           Validation checking
·           Matching, considers active and passive matching for FoP instructions as well as dumps only. When Issuer CSD participates in an instruction, CBF follows Issuer matching.  
·           Amendment-Functionality (Deletion, Changing, Blocking, Unmatching – supports also bilateral cancellation-, Splitting Request)
·           Maintaining of instruction lifecycle
·           Automatic instruction forwarding (recycling) and deletion at the end of the day
·           Automatic instruction blocking at the end of a batch-cycle/EoD on behalf of customer
·           Settlement-Routing
o   Centralized settlement
o   Deferred settlement
·           Sub-account solution for automatical partitioning from main to subaccount
·           Selfcollateralisation to increase cash liquidity for NTP and DTP ( until 1.SDS) processing (securities are pledged to BBk-account and cash is provided by BBk)
·           Automatically generated cash payment request (P2) for CBL customers acting as sec. receiver in a EGCP trade (realtime and batch mode)
·           Settlement / Booking (Batch-Mode / Immediate-Mode)
o   3 batch cycles: STD (Valuta: today per tomorrow) SDS1 and SDS2 (Same-Day-Settlement)
o   Immediate-disposition: netting algorithm for securities &cash for RT-STD, Continuous-SDS and RTS (only securities reservation)
o   Maximum efficiency of back-to-back security disposition
o   Covers back-to-back circles, even with a lack of balances
o   Considering priority rules (priority code visible to and changeable by the customer; internal priority codes for the different transaction types)
o   Considering FoP, pure cash-instructions as well as securities and cash (DvP, currency EUR) in all settlement cycles 
o   Handling of instruction dependencies (21 dependency types reflecting different transaction type requirements > up to 204 instructions can occur in a set of dependent instructions )
o   Optimisation process for selfcollateralisation in order to pledge only the necessary holdings to cover the cash needs.
o   Handling of different account update types (positive, negative, pos-neg) for security- and cash-accounts
o   Handling of externally owned stocks (Fremdbestände) for Vaults Insourcing
o   Covers reservation (subaccount type) for RTS-DvP as well as for FoP instructions
o   Automatically generated transactions for lifecycle system (e.g. RS, Re-Conversation, EGCP-Instructions) and generation transactions on behalf of BBk for SelfColl purpose
o   Determination of required balances for automatic Mark-Up and needless balances for automatic Mark-Down
 
·           Management of balances (security and cash)
·           Reporting and documentation of Lifecycle instructions
 
The CASCADE-System contains the following instruction-types:
 
01 Delivery-Instruction FoP / DvP
     (incl. CCP instructions EGCP instructions)
02 Receipt-Instruction
03 Dept Administration Transfer
04 Provide Pledge
05 Release Pledge
06 not used
07 Exchange
08 not used 
09 Re-Conversion
11 Securities / Borrowing and Lending
12 Return Securities Lending
13 Income Administration
14 Bond Stripping Detachment
15 Bond Stripping Re-Detachment 16 Deposit-New
17 Warrants Detachment
18 Withdrawal-New
19 Re-Attachment of Bonds and Warrants
99 Deletion Manual Accounting Entry
 
Instruction-types 16 and 18 are described in Vaults-IT Summary Table.
 
CASCADE-Interfaces to internal
Clearstream-Systems
q  LIMA (Link-Manager), entry of instructions, reporting of status information e.g. settled instructions, pending instructions, balances … by using different query types, preparation MT202 for re-transferring pending cash and for booking cash in Euro for CBL customers (for EGCP purpose with omnibus account 7201). 
q  KADI corporate action events (redenomination, processing corporate actions against balances, pending instructions (non-income))
q  CASCADE-PC (online PC-interface)
q  CASCADE-RS (maintaining special instruction types for register shares, e.g. ""Bestands- / Depotübertrag""
q  CEDAR (conversion of balances)
q  FC-Interface (foreign currency trades; cash is settled in creation)
q  LION (SE-Trades for settlement and for mark-up))
q  LMS, entry of automatically generated securities lending and borrowing instructions (IT 11) and return security lending instructions (IT 12) (via LIMA)
q  CASH 
q XEMAC (entry of pledging instructions  for collaterals and release of pledged balances, delivering of EGCP-trades for settlement, receive of EAD information)
q  KV-Geld (WKN 4 for manually cash bookings)
q  Vaults (see instruction types  16 and 18)
q  Cash-Forecast (delivering of Cash-Forecast relevant information)
q  Settlement-Discipline,  Statistics + MIS-Reporting (delivering of settlement discipline relevant information), MIS-Reporting
q  Cash-Lifecycle (receiving transaction types reservation, custody payments, payouts, utilisations, reversals, funding transfers, reverse funding transfers, Marked Allocation Transfer Instructions, Market Allocation Reversal Instructions for cash-settlement. Delivery of information about pending X-Border purchases for CMA bookings and for generation XCPP instruction)
q  T2CI (cash orders out of RTS-instructions)  
 
CASCADE-Interfaces to external
Systems
q  WSS (Security Master Data)
q  KUSTA (Customer Master Data)
q  EK-Neu (sec. balances for risk-calculation for customers)
q  StatistiX (settled and pending OTC-instructions and sec. balances for DBAG-statistics, EGCP evidence reporting)
q  Smonitor  (instructions for “scanning for taboo and obfuscating persons” (STOP))
q  RDF (“German” ISINs where CBF customers have positions in)
 
Third parties 
q  BBk for Selfcollateralisation requests 
q  ISS (via CBL) security positions for Proxy Voting purposes
 
CASCADE Customers
q  National / International Banks
q  EUREX
q  Federal Debt Agency
q  German Central Bank
q  CSD’s / ICSD’s
q  Depositories in general (for GBC handling)
q  Fund Agencies
q  CCP
q  Int. trade-platforms (Euro-MTS, SWX, LCH, BrokerTec, Vestima and Investro)
 ",Critical,58,not initiated
AID12,CASCADE PC,Application,Not set,Critical,Critical,"CASCADE-PC 
(Central Application for Settlement, Clearing and Depository Expansion - Personal Computer (GUI Version)) 
Graphical Frontend for CASCADE Backend
 ",Critical,Internal,onboarding,CASCADE PC,Critical,LE12,"Times New Roman;Century Gothic;Courier New;Arial;Segoe UI;symbol;symbol;&quot;;Times New Roman;wingdings;MS Shell Dlg;;;;Normal;Default Paragraph Font;The CASCADE-PC components comprises the following functionality 
for CSC business :
 
·       Graphical Front-end for Cascade Backend
·       Multilingual GUI representation (English, German)
 
The CASCADE-PC System supports the following instruction-types:
o   Delivery-Instruction FoP / DvP
o   Receipt-Instruction
o   Cash Instruction
All others instruction types can be viewed in “Listed-View-Modus” only.
 
CASCADE-PC-Interfaces to internal
Clearstream-Systems
 
q  CASCADE online (OTC)
q Cash online (incl. multi cash sourcing)
q Custody Services online
q LIMA online (Link-Manager)
q Message Journal online
q CASCADE-RS online 
q Stock Exchange for settlement online (LION)
q Movements/Positions  online
q Bank information (Customer Master Data)) 
q Online Information  of balances
q Online Reporting of settled SE- and OTC-Trades (Dispo-Bund)
q Vaults
q Online Administration of Security Data
 
CASCADE-PC-Interfaces to external
Systems
 
q None
 
CASCADE-PC Customers
 
q National / International Banks

 ",Critical,3,not initiated
AID13,CASCADE RS,Application,Not set,Critical,Critical,Processing of RegisteredShares in CSC business,Critical,Internal,onboarding,CASCADE RS,Critical,LE13,"CASCADE-RS includes all functions related to the processing of Registered Shares in CSC business.
The functionality of CASCADE-RS can be split into two main aspects:
·      Routing of instructions from banks to issuers (of registered shares) and vice versa (where the message handling itself is provided by LIMA) including the verification of instructions.
 
·      Detailed position keeping/ handling for banks on shareholder level, meaning banks are mirroring the registered shares positions of their customers’ accounts within CASCADE-RS .
 
The functions in detail are:
Registration of shareholders:
Following a capital increase or the initial issue of registered shares shareholders have to be initially registered. The bank instruction contains the shareholder data (name, address, date of birth etc.), the number of shares and references the underlying capital increase. A message is sent to the issuer and the CASCADE-RS position for the shareholder is created.
 
Re-registration:
The re-registration instruction results from a trade in registered shares. It contains the data of the buyer (name, address, date of birth etc.) and the number of shares. 
Then a matching of previous shareholder positions to the re-registration instructions is performed (3 times a day).
A message is sent to the issuer and the CASCADE-RS position for the shareholder is created at time the positive feedback has been received from the issuer.
 
De-registration:
The de-registration instruction results from a trade in registered shares. It references the seller and contains the number of shares being sold. The referenced shareholder position in CASCADE-RS is freed and the information (shareholder id and amount) held in the Previous Shareholder Pool until it is used by the matching process for re-registrations  (see above).  
This function is closely integrated with the CASCADE system. 
For mass de-registrations CASCADE-RS provides a function to de-register all positions of one security or of one bank across securities. This is used for example for squeeze-outs.
 
Update of shareholder data:
In case the personal data of a shareholder (name, address) changes, the bank enters an Update Shareholder Data instruction. As not the complete shareholder data is kept in CASCADE-RS, an update of data might or might not occur. Anyhow the instruction is routed to the issuer.  
Instructions can be entered on single ISIN level (via data transfer or online) or for all ISINs within one shareowner-account (only online).
 
Cross border securities Transfer
Securities Transfers are possible in the link between Monte Titoli, Euroclear France, DTC, APK and CBF.  For transfers of holdings from other CSDs to CBF messages are sent to the share registers, the additional holdings at CBF are reflected using a technical shareholder. For transfers from CBF to other CSDs the registered shares holdings at CBF are reduced by de-registering shareholders in the unregistered positons queue. Messages for those de-registrations are sent to the share registers. 
 
Transfer of registered positions:
In case the bank account of a shareholder changes this change has to be reflected in CASCADE-RS. 
Two kinds of this instruction type have to be differentiated: Internal and external, where internal means, the shareholder account changes within the same bank organisation and external meaning a shareholder has transferred his account to a different bank. 
Based on this instruction the positions in CASCADE-RS are shifted and an information message is transferred to the issuer.
This function is closely integrated with the CASCADE system.
For mass account changes, which occur at bank mergers or when the accounts within one bank are restructured, CASCADE RS provides a function (RS CEDAR) to generate instructions to transfer the registered positions impacted. The input for this function might be a general algorithm or a migration file from banks containing each position with its old and new identification.
 
Corporate actions:
As the CASCADE-RS positions reflect the bank positions on a more detailed level, all corporate actions changing the amount of shares have to be performed on the CASCADE-RS positions. E.g. in case of re-nomination the shareholder positions have to be altered in the defined ratio.
This function is triggered by the KADI system.
 
Deposit/Delivery of individual certificates:
In case individual certificates for a certain equity still exist, a deposit or delivery to respectively from CSC might occur. For deposits in registered shares the certificate numbers and shareholder data is being verified against the information provided by the issuer. In case of successful verification shareholder positions are created and a message is sent to the issuer.
This function is triggered by the VAULTS system.
 
External Reconciliation:
Besides the internal reconciliation CASCADE-RS provides a function to reconcile its shareholder positions against the ones contained in the issuer’s share register. This is done on request of the issuer. The information can either be provided on an individual basis or regularly (daily, weekly, monthly etc.) 
 
Capital increase information:
Whenever a capital increase takes place for an equity contained in CASCADE-RS this has to be reflected synchronously within CASCADE-RS and the affected share register. In CASCADE-RS – triggered by the VAULTS system – a position is generated reflecting the amount of shares waiting for registration.
In order to ensure synchronicity with the share register a message is sent containing the capital increase data. 
 
Previous shareholders information:
As CASCADE-RS keeps the information of shareholders already being de-registered by the bank but only transfers this information combined with a re-registration for another shareholder the deregistration will reach the share register days or weeks after the deregistration has been entered by the bank. Therefore CASCADE-RS provides an information file with all shareholders marked for de-registration (“previous shareholders”) to share-registers .
The information can on request either be provided on an individual basis or regularly (daily, weekly, monthly etc.). 
 
Information on unregistered bank positions
In order to inform issuers about the volume of unregistered positions per bank a fix format file is produced on request and sent out to the issuers.
 
Technical/nominee re-registration:
In order to immediately (on a daily basis) de-register all shareholders marked for re-registration CASCADE-RS provides a function for registering a bank specific (on bank’s request) nominee or common technical shareholder for all unregistered positions. Issuers can request this function.
 
Master and Control Data
For entry of issuer master data and control data CASCADE-RS offers an online interface.
 
Queries and report of holdings
CASCADE-RS offers the online entry of requests of LIMA Queries or report of holdings. Bank users can define the range of holdings they want to receive information on, e.g. ISIN or account number range can be specified. LIMA queries provide the information in a file format ready for further processing, the report of holdings is a printable report.   
 
CASCADE-RS consists of Online and Batch. Online functions being used for instruction entry and information retrieval on instructions or positions. They can be used by banks directly and provide real time information.
Instructions alternatively can be entered using the LIMA interface or  S.W.I.F.T. Additionally there is an online transaction restricted for internal usage (KCEZ). This one is used for entry of RS specific master data and for controlling/triggering of processes (external reconsiliation, exclusion of certain ISINs from re-registration).
Main processing within CASCADE-RS occurs in Batch mode.
 
As mentioned above CASCADE-RS is closely integrated into the CBF applications, especially CASCADE, VAULTS, KADI.  
 
For master data it uses the common applications WSS (securities) and KUSTA (customers – banks and issuers).
",Critical,17,not initiated
AID14,CASH II,Application,Not set,Major,Major,"Central Application for Service-fee Handling
  ",Major,Internal,onboarding,CASH II,Major,LE14,"CASH 2 is for the acquisition of data about services, which  are used by the account holders of Clearstream and also serves for invoicing.
 
The following CSC (and partially for NCSC) businesses are worked on:
-    Security Deposit Business
-    Sales Volume Business
-    Online Transactions
-    Data Transfer (DFÜ) Message Traffic
-    Other Performances
 
Performance recording is carried out either automatically or manually
The services of the single Clearing account holders used recorded by automatic interfaces in the delivering systems.
 
·       Security Deposit Business
The inventory is subjected to a market price calculation or on a base suitable for the invoicing (pensions, shares per piece with nominal value 50) remodelled. For CSC business (CASCADE) the per rata-temporis stock is found out, the monthly statement is calculated against the invoice statement.
 
·       Sales Volume Business
The sales processed in the   CASCADE system are analyzed and deposited per  account and type of business  in the CASH 2 performance data base.
 
·       Online Transactions
The number of called transactions of CBF-Applications  are given.
 
·       Data Transfer (DFÜ) Message Traffic
The message exchange via the LIMA  systems is included automatically and  rising volumes are stored according to the various types of messages.
 
·       Invoicing
All accumulated volumes for each customer account will be transferred to SAP at Ultimo. The pricing, invoicing and debiting is done or to be arranged by SAP.
Invoices and debit instructions then are sent to customers and KV-Geld respectively via CASH 2.
 
·       Statistics
CASH-2 delivers daily CASCADE balances to MIS statistics and CBL Dataserver.
 ",Major,34,not initiated
AID15,Cash Information,Application,Not set,Critical,Critical,Cash Information System,Critical,Internal,onboarding,Cash Information,Critical,LE15,"1.   Cash Forecast
 
Cash Forecast receives information of various applications about open instructions. Those are prepared for customers to calculate the cash amount which is needed for the next cash funding cycle within NGSM, which could be a batch or continuous funding cycle. Additionally to the cash amount for the German market Cash Forecast shows the amount which is needed to fund foreign markets  (currently ESES markets). Cash Forecast data are the basis for the creation of reservation instructions. This net funding requirement includes the cash amount needed for settlement in foreign markets.
 
CBF internal users use the monitoring functionality to track the customers reservation instructions in comparison to the funding amount.
 
This comprises the following functionality:
 
·        Receive information about failed and blocked OTC-instructions and SE-trades  out of the STD processing to set up Cash Forecast
·        Update with settled OTC-instructions out of immediate Settlement and daylight batch cycles
·        Amendment of blocked / unblocked figures by released OTC-instructions and SE-Trades
·        Receive information about expected Custody payments (MPA / Non-MPA) to set up Cash Forecast
·        Individual maintenance  per cash settlement account of configuration rules for consideration of blocked instruction / self collateralization amount into Cash Forecast via transaction KUAA
·        Delivery of basis Cash Forecast information in CSV format into LDMS for reconciliation purpose
·        Forecast information for internal user and customers via transaction KUCF
·        Maintenance of same day Cash Forecast for the continuous funding and SDS batch cycles and the next day Cash Forecast for the upcoming business day
·        Store history for  132 business days on cash funding cycle basis
 
Cash Forecast-Interfaces to internal Clearstream-Systems
·        Cascade Lifecycle
Information about settled, unblocked, blocked, matched and unmatched OTC instructions. Set Up once per business day after STD settlement.
·        Settlement Engine
Balances 
·        LION
Information about settled, unblocked, blocked, changed, deleted and new SE-instructions. Set Up once per business day after STD settlement.
·        Income Engine
Receive data about expected BUND payments
·        CASCADE-PC (online PC-interface)
·        CASH II
Transaction fee counter
·        Cash Lifecycle 
Deliver Cash Forecast information for creation of reservation instructions and the breakdown on markets.
 
Cash Forecast-Interfaces to external Systems
·        WSS (Security Master Data)
For checking of new issues.
·        KUSTA (Account Master Data)
·        CCP
Information about unblocked and blocked CCP-instructions.
 
Cash Forecast Customers
·        National / International Banks
 
 
2.   Cash Accounting
 
Cash Accounting handles all booked cash movements based on security, custody and pure cash  instructions.
 
Based on these movements  Cash Accounting provides information for Billing, internal and external reporting.
 
This comprises the following functionality:
 
·        Creation of cash movements and store them for 132 business days on cash funding cycle basis.
·        Present cash movements and instruction data Online via transaction KUCI.
·        Creation of  “Kontoinformation” and transfer to customers 
·        Creation of  “Geldumsatzanzeige” and transfer to customers
·        Creation of  “Einzelpostenliste” 
·        Creation of Movement Fee counters for Billing purpose
·        Provide Booking text keys
 
This comprises the following movement types:
 
·        Settlement 
·       Custody 
·       Reservation 
·       Reservation reversal
·        Payout
·        Utilisation
·        Funding transfer
·        Realignment transfer
·        XCSD transfer instruction for pending purchases
·        Market allocation transfer instruction
·        Market allocation reversal instruction
·        ESES settlement utilsation instruction (based on CASCADE instructons)
 
Cash Accounting-Interfaces to internal Clearstream-Systems
·        Settlement Reporting
Cash Movements of settled SE- and OTC-Trades
·        Settlement Engine
Balances for Reporting purpose
·        Cash Lifecycle
Cash Movements of settled Custody- and pure cash-instructions
·        CASCADE-PC (online PC-interface)
·        CASH II
Movement and transaction fee counter
 
Cash Accounting-Interfaces to external Systems
·        KUSTA (Account Master Data)
 
Cash Accounting Customers
·        National / International Banks
 ",Critical,16,not initiated
AID16,Cash Lifecycle,Application,Not set,Critical,Critical,Cash Instruction Lifecycle for new German Settlement Model,Critical,Internal,onboarding,Cash Lifecycle,Critical,LE16,"Cash Lifecycle handles the complete life cycle management for pure cash instructions within the New German Settlement Model. Cash Lifecycle supports the following processing cycles
 
·            Via procedure 6  (P6):
o     STD, SDS1, SDS2
o     C1F1, C1F2, C1F3
o     C2F1, C2F2
 
·           Via procedure 3  (P3):
o     DD1, DD2, DD3
 
·           GC Pooling Select
 
Processing logic and interfaces for all P6 related cycles are identical with the only exception, that custody, Market Allocation/Reversal, and X-CSD instructions are only considered for STD processing.
 
In detail the following business areas and instruction types are supported:
 
Liquidity Management (P6)
·            Reservation instructions:
They can be created manually by using the Cash Lifecycle online functionality. Beside this, standing instructions can be used to trigger the automatic creation of reservation instructions based on a fixed cash amount defined in KUSTA or the cash requirement calculated by the Cash Forecast application.  Reservation instructions can also be entered in applications of Deutsche Bundesbank and are in this case forwarded electronically to Cash Lifecycle.
 
·            Reservation Reversal instructions:
Those are created by the application to reverse the original reservation booking at the end of the settlement cycle. In addition, dependant on the settlement result, Utilisation or Payout Instructions are created.
 
·            Utilisation instructions are automatically generated in case of a negative settlement result for an account. 
 
·            Payout instructions are automatically generated in case of a positive settlement result for an account. 
 
·            Funding Transfers can be used to transfer cash liquidity from cash funding accounts to cash settlement accounts. They will be produced automatically based on rules defined by customers via online
 
·            Realignment Transfers are used to transfer remaining cash liquidity after settlement from cash settlement accounts back to cash funding accounts. They will be produced automatically based on rules defined by customers via online
 
·            Market Allocation Instructions:
These are built on market allocation rules defined by customers to transfer cash from a CSA to a MAA. Should the definitions for MAAs in KUSTA not be in sync with CL’s own rules, the CL rules will be updated accordingly to enforce their consistency.
 
·            Market Reversal Instructions
Reversal of the market allocation instruction based on CASCADE balances
 
X-CSD Instructions
For pending purchases these are created based on pending cash amounts delivered by CASCADE.
For new purchases these are created based on the difference between the balances of the Market allocation and Market reversal instructions
 
Cash Instructions (P6)
·      Custody Cash instructions (NTP):
These are generated by the Cash Lifecycle system based on information delivered by the KADI application.
 
Cash Instructions (P3):
·      The Custody Cash Instructions (DTP) and Non-Custody cash instructions:
These are based on automatic deliveries from KF-Geld, KADI and/or manual input.
 
GC Pooling Select
Monitoring of Cash Management for institutional clients (non finachial institutions) on a prefunding bases in Central Bank money:
·      Interface from LIMA:
Real-time creation andupdate of cash movements
·      Creation of Pay-Outs:
Depending on pending settlement instructions pay-out instructions are created, further status updates depend on LIMA feedback (SEME needed)
 
 
Services offered for instructions via Cash Lifecycle are:
 
o   Manual instructions management
o   Approval of manual instructions
o   Verification of manual instructions
o   Automatic generation of instructions
o   Data validation
o   Netting
o   Packaging
o   bookings
o   Online queries 
o   Interfaces to Settlement applications are supported
 
The functionality/usage and screen layout of the application was designed and developed taking CASCADE as a paragon. As such it is divided into online (IMS DC) and batch components and provides the following functionality :
 
·       Online dialogues for maintenance of reservation instructions incl. e.g. 2-eye-principle (except 4-eye-principle  for contingency cases (KNCC))
 
·       Online dialogues to maintain rules which serve as basis for the automatic creation of instructions (Reservation Instructions, Funding Transfers, Realignment Transfers)
 
·       Functionality to handle the complete lifecycle for all instruction types mentioned above. 
 
·       Reporting functionality for real-time information concerning the processing status of instructions
 
·       Interface to T2CI 
Via this interface instructions are sent to the Bundesbank for processing. Feedback is received and status of Cash Lifecycle instructions updated accordingly. The operational readiness of this interface is secured by contingency functionality.
 
·       Interface to CASCADE (only P6)
Instructions are sent to CASCADE for settlement and  feedback is processed afterwards within Cash Lifecycle.
 
·       Interface to CASCADE (only P6):
CL accesses the CASCADE cash balances table during the creation of instructions, e.g. for the calculation of the utilisation or pay-out amounts
 
·       Interface to CASCADE (only P3):
CL receives instructions containing pending cash amounts and accesses a special CASCADE table to get current balances needed to determine the customers new Cash Market Account (CMA) balances.
 
·       Interface from CASCADE (only STD):
Instructions containing pending cash amounts are received and stored as X-CSD instructions for pending purchases.
 
·       Interface from KADI:
Information about custody payments is send by KADI. Based on this data the Cash Lifecycle application creates Custody Cash Instructions.
 
·       Interfaces from KV-Geld:
For P3 processing KV-Geld delivers all (non KADI) instructions to CL
 
·       Interface to KV-Geld:
For P6 cycles :
Custody Instructions flagged for DTP are routed to the CL-DD processing, 
Custody  (P6) instructions failed within NTP are converted into P3-instructions for CL-DD, processing and send to KV-Geld  reporting purposes. Utilisation, Payout, and X-CSD Instructions on CBF’s own accounts are delivered to KV-Geld for settlement.
For P3 cycles:
All instructions delivered by KADI to CL are reported from CL to KV-Geld, including the OEKB related instructions prepared by CL (as they are relevant for regulatory reporting).
 
·       Interface to Cash Forecast:
The cash requirement calculated by the Cash Forecast application is taken for the automatic creation of reservation instructions. Information about the predicted or final reservation request is delivered to Cash Forecast. 
A new functional interface has been provided within the Daytime project by Cash Forecast and is called by Cash Lifecycle to historice the net funding requirements per CSA and cycle  after the generation of reservation instructions by CL.
 
·       Interface to Cash Accounting:
Settled cash instructions are forwarded to cash accounting for customer reporting.
 
·       A monthly report called Geldreservierungshistorie is produced (during STD) containing Reservation, Utilisation and Pay-Out instructions for STD and all Daytime Cycles of the previous month. X-CSD instructions are reported only for the STD cycle.
 
·       A daily list is produced in STD showing a list of FT and UTIL instructions on 8261 sub accounts, which CBF opens for customers without a NCB account and transferred to CEMT (Credit Exposure Management Tool) 
 
·       Within P3 a Netting Report is created in order to provide customers with information about the cash flows in the DD cycles.
 
·       Interface from Vaults:
For P3 processing delivery of namual instructions.
 
·       Interface to AURORA:
Detailed cash instructions (P3) are delivered to AURORA for BOP and Accounting processes for CBF.
 
·       Interface to LIMA
Customer interim, EOD, and contingency reports are created and provided additionally in LDMS.
 
·       Interface to EUREX
For GC Pooling Select Instructions a transfer of Customer Reports to the Eurex Clearing AG for distribution to the clients is performed.
 
·       For Cash Instructions (P3): 
New Cash Report showing cash balances per account, value date, and processing cycle is distributed after end of DD3 to customers and internal users. That report will be available in parallel to the existing KV-Geld Geldtagesauszug for the duration of one year
 
Internal Services Function:
 
A Cash Lifecycle GUI is available for
·        manual maintenance of P3 instructions
·       Excel up- / download functionality of the above mentioned instructions 
·       Manual creation of GC Pooling Select instructions for contingency cases (SWIFT-Network not working or no connection to T2/SSP available)
for use by Cash Operations as well as Domestic Securities Financing (OBF) staff.
 
Note: Services related to (P3) instructions were previously entered via KV-Geld’s IMS-DC.
 
The manual insert and change functionality is comprising a 4-eye- as well as 2-eye-principles depending on the role assigned to a user. 
 ",Critical,14,not initiated
AID17,CCP,Application,Not set,Critical,Critical,"Central Counterparty (CCP) enters as contracting party into exchange transactions concluded between two exchange participants.
test",Critical,Internal,onboarding,CCP,Critical,LE17,"The CCP has the function to take-over the settlement risk, provide anonymity conditions after trade execution and reduce the number of securities deliveries through offsetting algorithms. Furthermore, a CCP simplifies the cross-border settlement and enables cross margining services. 
The CCP is connected to different (international) central security depositories with various interface technologies (SWIFT, AMQP, ftp). 
The CCP also provides services and interfaces to 3rd party flow providers for securities lending and generates contract notes for the bilateral processing, for non-CCP eligible instruments.. 
 ",Critical,40,in process
AID18,CCS,Application,Not set,Critical,Critical,"·	Management of Hedge and Investment Funds",Critical,Internal,onboarding,CCS,Critical,LE18,"CGSS Custody System provides the full range of functions to CGSS operations and customers to trade; settle; and manage hedge and investment funds. The functions are provided across six major systems: 
·	CCS & CCS Online providing core custody services; 
·	CFN providing client transaction and reporting; 
·	CDS providing reference data management; 
·	CDOC providing STP processing of statements; and Corona providing security and cash reconciliation.
 
CCS and CCS online (JCCS) are the core custody systems used by CGSS Operations providing Front Office; Settlement; Transfers; Corporate Action Management; Fee processing; and Securities reference date. Detailed services include:
·	Front Office: Trade import – Swift, CFN, XML; Trade Entry & Maintenance; Trade Enrichment; Calculation; of Trade Dates; SWIFT MT 5x messages; Inquiries and Reports;
·	Settlement: Trade build; Price build; Settlement build; Preliminary and final confirmation; Contract note matching;
·	Transfers: Trade entry; maintenance & build; Queue management; Communication to client and fund by Fax and SWIFT; Contract note matching;
·	Corporate Action Management: Batch creation and maintenance; Authorization and notifications;
Communication with customers and participants is support with SWIFT FIN and MX messages; Fax and Email. ",Critical,41,not initiated
AID19,CDOC,Application,Not set,Minor,Minor,Support for automated processing of Statements of Holdings from Hedge funds and transfer agents,Minor,Internal,onboarding,CDOC,Minor,LE19,"CDOC supports the automated processing of Statements of Holdings received from funds and transfer agents to improve automate the reconciliation process. 
Statements of Holding received by email from the Funds Administrator are routed to CDOC where the Statements of Holdings are converted into a SWIFT MT 535 format which allows verification of the statement and subsequently routing the statement to the Corona reconciliation system. Statements are archived to a document management system based on IBM ECM. Access is also provided to reports in the Datawarehouse (MURES) which are built from data extracted and consolidated from CDS and Corona.",Minor,7,not initiated
AID20,CDS,Application,Not set,Minor,Major,Hedge Funds reference data,Major,Internal,onboarding,CDS,Major,LE20,"CDS allows CGGS Data Management team to manage hedge and investment fund reference data by combining input from external vendor feeds, internal system feeds, and from direct user input. The reference data managed includes:
·	Create and update of security master and populating general data for all securities and specific data based on 3rd party vendor data feeds;
·	Creates corporate actions of numerous types, including dividends, splits, name changes, based on data received from IDC and Telekurs;
·	Update of financial instrument prices throughout the business day from external vendors such as Telekurs and IDC and internal systems Corona);
·	Transfer of security master; prices and corporate action back to from CDS to CCS using “Bundling” mechanism of reference data changes.",Major,25,not initiated
